Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
0.73756,0.74000,0.73748,-0.00012,0.00005,0.0005,0,0,0,0,10,WAIT
0.73438,0.73984,0.73753,-0.00016,0.00005,-0.0025,-60,0,-0.0005,-10,-10,STRONGBUY
0.73594,0.73951,0.73755,-0.00033,0.00002,0.0015,60,0,0.0005,10,10,STRONGBUY
0.73842,0.73924,0.73760,-0.00027,0.00005,0.0015,80,0,0,10,20,WAIT
0.7397,0.73902,0.73770,-0.00022,0.00010,0.0015,40,0.1,0.0005,0,20,SELL
0.73925,0.73890,0.73786,-0.00012,0.00016,-0.0005,0,-0.1,0,0,20,WAIT
0.73868,0.73867,0.73798,-0.00023,0.00012,-0.0005,-20,0,0,0,-10,SELL
0.73855,0.73845,0.73810,-0.00022,0.00012,0.0015,20,0,0.0005,0,-10,SELL
0.73901,0.73814,0.73817,-0.00031,0.00007,-0.0015,40,0,0,0,-10,WAIT
0.73669,0.73791,0.73822,-0.00023,0.00004,0.001,-140,0.1,0,-10,-30,SELL
0.73648,0.73783,0.73817,-0.00008,-0.00005,-0.0025,0,0,-0.0005,0,0,STRONGSELL
0.73896,0.73768,0.73817,-0.00015,0.00000,0.002,140,0.1,0,10,10,STRONGSELL
0.73433,0.73781,0.73829,0.00013,0.00012,0.001,-220,-0.1,0,-10,0,STRONGSELL
0.73031,0.73754,0.73833,-0.00028,0.00004,-0.0045,-50,-0.1,-0.0005,-10,-10,STRONGSELL
0.7286,0.73702,0.73830,-0.00052,-0.00003,-0.0025,10,0,-0.0005,0,-20,STRONGSELL
0.72162,0.73638,0.73824,-0.00064,-0.00005,-0.0005,-10,0,-0.0005,-10,0,WAIT
0.72154,0.73547,0.73806,-0.00091,-0.00018,-0.0045,30,-0.1,-0.0005,0,-5,SELL
0.71864,0.73444,0.73789,-0.00103,-0.00017,0.0015,20,0,-0.0005,0,-5,BUY
0.72196,0.73303,0.73764,-0.00141,-0.00025,0.001,60,-0.1,0.0005,10,10,STRONGSELL
0.71916,0.73176,0.73741,-0.00127,-0.00023,0.0025,-20,0.1,0,-10,0,BUY
0.72127,0.73032,0.73707,-0.00143,-0.00034,-0.0005,40,0,0.0005,10,10,STRONGSELL
0.71557,0.72908,0.73677,-0.00124,-0.00030,0.001,-40,-0.1,0,-10,0,STRONGSELL
0.72103,0.72744,0.73627,-0.00164,-0.00050,0.0015,59.95,0,0.0005,10,20,STRONGSELL
0.71344,0.72615,0.73591,-0.00128,-0.00036,0.0015,-59.95,0,0,0,-10,BUY
0.71144,0.72449,0.73536,-0.00166,-0.00056,-0.00675,-20,0,0,-10,0,STRONGBUY
0.71242,0.72271,0.73479,-0.00179,-0.00057,0.00075,20,-0.1,0,10,-20,SELL
0.71448,0.72081,0.73419,-0.00190,-0.00060,0.004,40,0.1,0.0005,0,10,SELL
0.71481,0.71939,0.73365,-0.00142,-0.00053,0.0015,19.95,0.1,0.0005,0,10,STRONGSELL
0.71093,0.71828,0.73314,-0.00111,-0.00051,-0.0005,-59.95,0,0,0,0,STRONGBUY
0.7129,0.71702,0.73252,-0.00126,-0.00063,-0.0005,40,0,0,0,0,BUY
0.70939,0.71640,0.73193,-0.00062,-0.00058,-0.0005,-40,0,0,0,-10,STRONGBUY
0.71618,0.71553,0.73132,-0.00087,-0.00062,0.00375,120,0.2,0.0005,10,20,SELL
0.71504,0.71536,0.73087,-0.00018,-0.00044,-0.00025,0,0,0.0005,0,10,SELL
0.7157,0.71486,0.73039,-0.00049,-0.00048,-0.0005,20,-0.1,0.0005,0,30,SELL
0.71388,0.71461,0.72991,-0.00025,-0.00049,0.0005,-40,0,0,0,-10,WAIT
0.71398,0.71409,0.72935,-0.00053,-0.00055,-0.001,20,0.1,0,0,-10,STRONGSELL
0.71367,0.71397,0.72884,-0.00011,-0.00051,0,0,-0.1,0,0,-10,STRONGSELL
0.71375,0.71345,0.72832,-0.00053,-0.00052,0.0025,0,0.2,0,0,-10,STRONGSELL
0.70897,0.71347,0.72782,0.00002,-0.00051,-0.002,-180,-0.1,-0.0005,-10,-10,WAIT
0.70711,0.71329,0.72720,-0.00018,-0.00062,-0.003,0,0,-0.0005,0,-10,WAIT
0.70371,0.71291,0.72651,-0.00038,-0.00069,-0.0015,-20,-0.2,-0.0005,-10,-10,STRONGBUY
0.70954,0.71214,0.72576,-0.00077,-0.00075,0.003,139.95,0.1,0,20,10,STRONGSELL
0.70698,0.71177,0.72510,-0.00038,-0.00066,0.001,-39.95,0,0,-10,10,WAIT
0.70755,0.71149,0.72441,-0.00028,-0.00069,-0.0005,20,0,0,0,20,WAIT
0.70619,0.71110,0.72370,-0.00038,-0.00071,0.0005,-20,0,0,0,-5,SELL
0.70651,0.71088,0.72298,-0.00023,-0.00072,0,20,-0.1,0.0005,0,5,WAIT
0.7068,0.71018,0.72235,-0.00069,-0.00063,0.002,19.95,0,0,0,-10,WAIT
0.70467,0.70960,0.72172,-0.00059,-0.00064,-0.0025,-39.95,0.1,0,0,0,STRONGBUY
0.70666,0.70881,0.72107,-0.00079,-0.00065,0.001,39.95,-0.1,0,10,0,STRONGBUY
0.70759,0.70829,0.72044,-0.00052,-0.00063,-0.0005,40.05,0,0.0005,0,0,BUY
0.70899,0.70784,0.71984,-0.00046,-0.00060,0.003,80,0.1,0,0,20,SELL
0.71099,0.70750,0.71927,-0.00033,-0.00057,0.0025,100,0,0.0005,0,10,STRONGSELL
0.70941,0.70730,0.71880,-0.00020,-0.00047,-0.00108,-80,0.2,0,0,0,STRONGSELL
0.70608,0.70734,0.71827,0.00003,-0.00053,-0.00292,-140.05,-0.1,-0.0005,0,-20,SELL
0.70391,0.70726,0.71762,-0.00007,-0.00065,-0.0025,-99.95,0,0,-10,-30,BUY
0.70454,0.70728,0.71691,0.00001,-0.00072,-0.001,40,-0.1,-0.0005,0,-10,WAIT
0.70462,0.70692,0.71621,-0.00036,-0.00069,0.0015,20,0.1,0,0,0,WAIT
0.7066,0.70675,0.71553,-0.00017,-0.00068,0.003,80,0,0,10,20,STRONGSELL
0.70433,0.70668,0.71489,-0.00007,-0.00064,0.0005,-80,0,0,0,10,SELL
0.70397,0.70655,0.71420,-0.00013,-0.00069,-0.002,0,0.1,0,-10,0,SELL
0.70072,0.70637,0.71354,-0.00018,-0.00065,-0.001,-80,-0.1,-0.0005,0,-20,SELL
0.7017,0.70593,0.71283,-0.00043,-0.00072,0,60,0,0,0,-10,BUY
0.70142,0.70572,0.71208,-0.00021,-0.00075,-0.0015,0,0,0,0,-10,STRONGBUY
0.69957,0.70535,0.71143,-0.00037,-0.00066,0.001,-20,0,0,0,10,STRONGBUY
0.70351,0.70478,0.71081,-0.00057,-0.00061,0.002,100,0,0,10,10,STRONGBUY
0.70798,0.70438,0.71031,-0.00039,-0.00050,0.004,160,0,0.0005,10,30,SELL
0.70899,0.70417,0.71004,-0.00022,-0.00027,-0.0005,20,0,0.0005,0,30,SELL
0.70786,0.70414,0.70979,-0.00003,-0.00025,0,-40,0.1,0.0005,0,0,BUY
0.70654,0.70427,0.70957,0.00013,-0.00022,-0.001,-40,0,0,-10,0,STRONGBUY
0.707,0.70445,0.70926,0.00019,-0.00031,-0.001,0,0,0,10,-10,STRONGBUY
0.70886,0.70463,0.70902,0.00018,-0.00024,0.001,20,0,0,0,0,BUY
nan,0.70493,0.70877,0.00030,-0.00025,0.0025,60,0,0,10,10,WAIT
0.7122,0.70535,0.70871,0.00041,-0.00006,0,-40,0.1,0,-10,10,WAIT
0.70991,0.70591,0.70853,0.00056,-0.00018,-0.0005,-40,-0.1,0,0,-10,WAIT
0.71152,0.70633,0.70846,0.00042,-0.00007,-0.00149,20,0.1,0,0,-10,STRONGSELL
nan,0.70710,0.70846,0.00077,0.00000,0.00199,20,0.1,0,10,-10,STRONGSELL
0.71035,0.70792,0.70847,0.00082,0.00001,-0.001,-60,-0.1,-0.0005,-10,0,STRONGSELL
0.70741,0.70856,0.70839,0.00064,-0.00008,-0.003,-100.05,-0.1,-0.0005,-10,-30,STRONGSELL
0.69806,0.70912,0.70824,0.00056,-0.00015,-0.0005,-149.95,-0.2,-0.001,-10,-20,SELL
0.69818,0.70873,0.70799,-0.00039,-0.00026,-0.008,10,-0.1,-0.0005,0,-10,STRONGSELL
nan,0.70803,0.70769,-0.00070,-0.00029,0.0005,20,0,-0.0005,0,0,STRONGSELL
0.69579,0.70714,0.70744,-0.00089,-0.00026,0,40,0,-0.0005,0,0,STRONGSELL
0.69188,0.70628,0.70703,-0.00086,-0.00041,0.0015,0,0,0,-10,0,STRONGSELL
0.68762,0.70523,0.70656,-0.00105,-0.00046,-0.003,0,0,-0.0005,0,10,BUY
0.68756,0.70385,0.70600,-0.00138,-0.00056,-0.0015,20,-0.1,0,0,0,WAIT
0.68884,0.70232,0.70548,-0.00152,-0.00053,0.001,20,0,0,0,10,WAIT
0.68875,0.70064,0.70497,-0.00168,-0.00050,0.0025,0,0,0.0005,0,0,STRONGSELL
0.68844,0.69897,0.70447,-0.00167,-0.00050,0.0005,20,0,0.0005,0,10,WAIT
0.68863,0.69743,0.70397,-0.00153,-0.00051,0.004,0,0,0.0005,0,10,SELL
0.68154,0.69580,0.70356,-0.00164,-0.00041,-0.0015,-60,0,0,0,-10,STRONGBUY
0.68921,0.69354,0.70305,-0.00226,-0.00051,0.0005,100,0,0.0005,10,0,WAIT
0.68711,0.69203,0.70276,-0.00151,-0.00029,0,-20.05,0,0.0005,0,10,WAIT
0.68621,0.69058,0.70231,-0.00145,-0.00045,-0.0005,-19.95,0,0,0,10,WAIT
0.68918,0.68973,0.70190,-0.00085,-0.00042,0.004,80,0.1,0.0005,10,0,STRONGSELL
0.68695,0.68909,0.70153,-0.00064,-0.00037,-0.002,-60.05,0,0,-10,0,SELL
0.68606,0.68841,0.70114,-0.00068,-0.00038,0.0005,-19.95,0.1,0,0,0,BUY
0.68281,0.68771,0.70074,-0.00070,-0.00041,-0.002,-100,0,0,0,-30,STRONGBUY
0.68426,0.68707,0.70026,-0.00065,-0.00048,-0.0005,80,0.1,0,0,-10,STRONGBUY
0.68893,0.68683,0.69985,-0.00024,-0.00041,0.004,160,0,0.0005,10,20,STRONGBUY
0.68907,0.68692,0.69949,0.00010,-0.00035,0.002,0,0.1,0,0,30,STRONGBUY
0.69045,0.68694,0.69912,0.00002,-0.00037,0.0015,40,0,0.0005,0,10,STRONGBUY
